TotalLinesOfCode;TotalSymbols;SymbolsPerLine;Area;AreaPerLine;TotalConnectivity;TotalConnectivityPerLine;FieldConnectivity;FieldConnectivityPerLine;MethodConnectivity;MethodConnectivityPerLine;MethodDeclarationLines;MethodDeclarationSymbols;MethodDeclarationSymbolsPerLine;MethodDeclarationArea;MethodDeclarationDepthPerLine;KeywordContinueTotalCount;KeywordContinueCountPerLine;KeywordForTotalCount;KeywordForCountPerLine;KeywordNewTotalCount;KeywordNewCountPerLine;KeywordSwitchTotalCount;KeywordSwitchCountPerLine;KeywordAssertTotalCount;KeywordAssertCountPerLine;KeywordSynchronizedTotalCount;KeywordSynchronizedCountPerLine;KeywordBooleanTotalCount;KeywordBooleanCountPerLine;KeywordDoTotalCount;KeywordDoCountPerLine;KeywordIfTotalCount;KeywordIfCountPerLine;KeywordThisTotalCount;KeywordThisCountPerLine;KeywordBreakTotalCount;KeywordBreakCountPerLine;KeywordDoubleTotalCount;KeywordDoubleCountPerLine;KeywordThrowTotalCount;KeywordThrowCountPerLine;KeywordByteTotalCount;KeywordByteCountPerLine;KeywordElseTotalCount;KeywordElseCountPerLine;KeywordCaseTotalCount;KeywordCaseCountPerLine;KeywordInstanceofTotalCount;KeywordInstanceofCountPerLine;KeywordReturnTotalCount;KeywordReturnCountPerLine;KeywordTransientTotalCount;KeywordTransientCountPerLine;KeywordCatchTotalCount;KeywordCatchCountPerLine;KeywordIntTotalCount;KeywordIntCountPerLine;KeywordShortTotalCount;KeywordShortCountPerLine;KeywordTryTotalCount;KeywordTryCountPerLine;KeywordCharTotalCount;KeywordCharCountPerLine;KeywordFinalTotalCount;KeywordFinalCountPerLine;KeywordFinallyTotalCount;KeywordFinallyCountPerLine;KeywordLongTotalCount;KeywordLongCountPerLine;KeywordStrictfpTotalCount;KeywordStrictfpCountPerLine;KeywordFloatTotalCount;KeywordFloatCountPerLine;KeywordSuperTotalCount;KeywordSuperCountPerLine;KeywordWhileTotalCount;KeywordWhileCountPerLine;label
6.0;196.0;32.666666666666664;1.0;0.1666666666666666;4.0;0.6666666666666666;1.0;0.1666666666666666;3.0;0.5;35.0;1095.0;31.285714285714285;62.0;1.7714285714285714;0.0;0.0;0.0;0.0;1.0;0.1666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.1666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
1.0;44.0;44.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;10.0;345.0;34.5;14.0;1.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
9.0;242.0;26.88888888888889;6.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;99.0;3808.0;38.464646464646464;362.0;3.656565656565657;0.0;0.0;0.0;0.0;1.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.1111111111111111;0.0;0.0;1.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.1111111111111111;1
9.0;410.0;45.55555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;215.0;8044.0;37.413953488372094;243.0;1.130232558139535;0.0;0.0;0.0;0.0;3.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
12.0;766.0;63.833333333333336;17.0;1.4166666666666667;1.0;0.0833333333333333;1.0;0.0833333333333333;0.0;0.0;48.0;2409.0;50.1875;140.0;2.9166666666666665;0.0;0.0;0.0;0.0;2.0;0.1666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.1666666666666666;0.0;0.0;5.0;0.4166666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0833333333333333;0.0;0.0;0.0;0.0;3.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
5.0;197.0;39.4;1.0;0.2;1.0;0.2;0.0;0.0;1.0;0.2;8.0;258.0;32.25;6.0;0.75;0.0;0.0;2.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
37.0;1824.0;49.2972972972973;51.0;1.3783783783783785;1.0;0.027027027027027;1.0;0.027027027027027;0.0;0.0;78.0;4051.0;51.93589743589744;159.0;2.0384615384615383;0.0;0.0;2.0;0.054054054054054;4.0;0.1081081081081081;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.054054054054054;1.0;0.027027027027027;0.0;0.0;0.0;0.0;1.0;0.027027027027027;0.0;0.0;1.0;0.027027027027027;0.0;0.0;0.0;0.0;2.0;0.054054054054054;0.0;0.0;1.0;0.027027027027027;0.0;0.0;0.0;0.0;4.0;0.1081081081081081;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
5.0;148.0;29.6;0.0;0.0;1.0;0.2;1.0;0.2;0.0;0.0;24.0;1108.0;46.16666666666666;18.0;0.75;0.0;0.0;0.0;0.0;1.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
30.0;1383.0;46.1;10.0;0.3333333333333333;6.0;0.2;2.0;0.0666666666666666;4.0;0.1333333333333333;98.0;5032.0;51.3469387755102;354.0;3.612244897959184;0.0;0.0;1.0;0.0333333333333333;1.0;0.0333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0333333333333333;0.0;0.0;1.0;0.0333333333333333;0.0;0.0;0.0;0.0;1.0;0.0333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
10.0;242.0;24.2;2.0;0.2;2.0;0.2;1.0;0.1;1.0;0.1;12.0;321.0;26.75;12.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.2;0.0;0.0;0.0;0.0;1.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
